,id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
24,polkadot,dot,Polkadot,https://coin-images.coingecko.com/coins/images/12171/large/polkadot.png?1696512008,3.93,6002309797,25,6002309797,264657948.0,4.22,3.92,-0.1320477045076922,-3.25095,-193802009.20088863,-3.1278,1522267060.0,1522267060.0,,54.98,-92.8258,2021-11-04T14:10:09.301Z,2.7,46.22815,2020-08-20T05:48:11.359Z,,2025-04-03T12:06:53.344Z
25,bitcoin-cash,bch,Bitcoin Cash,https://coin-images.coingecko.com/coins/images/780/large/bitcoin-cash-circle.png?1696501932,301.61,6001132725,26,6001132725,270099794.0,314.82,290.98,-3.308404623339584,-1.085,-65560134.05437851,-1.08066,19850843.64665078,19850843.64665078,21000000.0,3785.82,-92.0252,2017-12-20T00:00:00.000Z,76.93,292.42519,2018-12-16T00:00:00.000Z,,2025-04-03T12:07:04.517Z
26,bitget-token,bgb,Bitget Token,https://coin-images.coingecko.com/coins/images/11610/large/Bitget_logo.png?1736925727,4.52,5423506692,27,5423506692,123517588.0,4.65,4.46,-0.03443800882067283,-0.75604,-46998560.47441864,-0.85913,1199999994.2,1199999994.2,2000000000.0,8.45,-46.40079,2024-12-27T11:41:24.992Z,0.0142795,31618.93908,2020-06-25T04:17:05.895Z,,2025-04-03T12:07:03.090Z
27,ethena-usde,usde,Ethena USDe,https://coin-images.coingecko.com/coins/images/33613/large/usde.png?1733810059,0.999561,5248259743,28,5248259743,187647986.0,1.0,0.999224,-0.000767833251640759,-0.07676,-13153928.371528625,-0.25001,5250029280.640284,5250029280.640284,,1.032,-3.14769,2023-12-20T15:38:34.596Z,0.929486,7.54281,2024-10-04T07:57:15.809Z,,2025-04-03T12:06:56.745Z
28,binance-bridged-usdt-bnb-smart-chain,bsc-usd,Binance Bridged USDT (BNB Smart Chain),https://coin-images.coingecko.com/coins/images/35021/large/USDT.png?1707233575,0.99993,5189727243,29,5189727243,368862569.0,1.009,0.983924,-0.001090059255104192,-0.10889,-4089489.24097538,-0.07874,5184994301.618546,5184994301.618546,,1.05,-4.77262,2024-08-05T14:21:42.527Z,0.942186,6.12029,2024-12-05T22:30:39.827Z,,2025-04-03T12:06:54.409Z
29,weth,weth,WETH,https://coin-images.coingecko.com/coins/images/2518/large/weth.png?1696503332,1790.62,5093485722,30,5093485722,167212486.0,1939.72,1785.36,-77.12107025742421,-4.1291,-235798631.29087925,-4.42458,2840615.155607792,2840615.155607792,,4799.89,-62.63107,2021-11-09T00:00:00.000Z,82.1,2084.64561,2018-12-15T00:00:00.000Z,,2025-04-03T12:06:58.550Z
30,pi-network,pi,Pi Network,https://coin-images.coingecko.com/coins/images/54342/large/pi_network.jpg?1739347576,0.608665,4141186059,31,6371055475,313157234.0,0.69664,0.605628,-0.05933778560366587,-8.88287,-381003358.65270615,-8.4252,6794101040.343595,10452463138.99014,100000000000.0,2.99,-79.66417,2025-02-26T16:41:03.732Z,0.605628,0.31826,2025-04-03T11:41:28.292Z,,2025-04-03T12:07:03.883Z
31,wrapped-eeth,weeth,Wrapped eETH,https://coin-images.coingecko.com/coins/images/33033/large/weETH.png?1701438396,1904.06,4075597471,32,4075597471,3907366.0,2056.97,1899.84,-78.8701265499908,-3.97745,-181651762.4529233,-4.26688,2136603.822047944,2136603.822047944,,4311.81,-55.78432,2024-12-06T20:32:25.758Z,1888.67,0.94368,2025-03-30T22:16:17.541Z,,2025-04-03T12:06:57.975Z
32,whitebit,wbt,WhiteBIT Coin,https://coin-images.coingecko.com/coins/images/27045/large/wbt_token.png?1696526096,27.79,4012436601,33,9131846827,45944008.0,28.53,27.5,-0.038450428333131725,-0.13815,2603800.0,0.06494,144118517.10815412,327997263.0,400000000.0,31.28,-11.04652,2025-03-02T22:22:36.852Z,3.06,808.66691,2023-02-13T19:01:21.899Z,,2025-04-03T12:06:57.334Z
33,monero,xmr,Monero,https://coin-images.coingecko.com/coins/images/69/large/monero_logo.png?1696501460,215.28,3972676081,34,3972676081,84493757.0,224.1,212.0,-0.03311488357209669,-0.01538,11862600.0,0.2995,18446744.07370955,18446744.07370955,,542.33,-60.32751,2018-01-09T00:00:00.000Z,0.216177,99426.93723,2015-01-14T00:00:00.000Z,,2025-04-03T12:06:50.396Z
34,hyperliquid,hype,Hyperliquid,https://coin-images.coingecko.com/coins/images/50882/large/hyperliquid.jpg?1729431300,11.24,3759877424,35,11259430982,190124138.0,14.31,11.2,-2.377875173195733,-17.46333,-810106613.3723664,-17.72668,333928180.0,999990391.0,1000000000.0,34.96,-67.93532,2024-12-22T03:56:00.276Z,3.81,194.31241,2024-11-29T09:30:30.871Z,,2025-04-03T12:06:59.607Z
